LON,LAT,ID,StationName,StationID,LineName,FulcrumID,PPRM_Desc
103.679452281271,1.34248590620783,"1",Peng Kang Hill,JW05,JRL
103.68247208895,1.34921230689481,"2",Nanyang Crescent,JW04,JRL
103.687227066086,1.35386920754437,"3",Nanyang Gateway,JW03,JRL
103.692882147529,1.35089448760024,"4",Tawas,JW02,JRL
103.699758135617,1.34837254668204,"5",Gek Poh,JW01,JRL
103.70946136321,1.34973124176596,"7",Jurong West,JS06,JRL
103.714923309703,1.35341800150668,"8",Corporation,JS05,JRL
103.72726104971,1.35936869604161,"9",Hong Kah,JS04,JRL
103.730473768902,1.36667713579465,"10",Tengah,JS03,JRL
103.741140545061,1.38013002057354,"11",Choa Chu Kang West,JS02,JRL
103.742811161416,1.38472202671665,"12",Choah Chu Kang,JS01,JRL
103.734072751344,1.35742873056845,"13",Tengah Plantation,JE01,JRL
103.737414541398,1.35128471860859,"14",Tengah Park,JE02,JRL
103.741398894455,1.34572280220622,"15",Bukit Batok West,JE03,JRL
103.742105917958,1.34138958696201,"16",Toh Guan,JE04,JRL
103.744162713078,1.32832526045664,"18",Jurong Town Hall,JE06,JRL
103.745126852606,1.32146971683773,"19",Pandan Reservoir,JE07,JRL
103.742299088803,1.33078285199035,"20",Jurong East,JE05,JRL
103.705349368037,1.33699001835828,"21",Boon Lay,JS08,JRL
103.709397926266,1.33336841685468,"22",Enterprise,JS09,JRL
103.709655335866,1.32593078287709,"23",Tukang,JS10,JRL
103.7108766467,1.31823449537613,"24",Jurong Hill,JS11,JRL
103.710812671108,1.31241372406045,"25",Jurong Pier,JS12,JRL
103.703870981619,1.34475096086936,"26",Bahar Junction,JS07,JRL
103.835471938157,1.36359749595128,"27",Bright Hill,CR13,CRL
103.843087285919,1.36592418858735,"28",Teck Ghee,CR12,CRL
103.850838646342,1.36959213648851,"29",Ang Mo Kio,CR11,CRL
103.862724048942,1.3701394809373,"30",Tavistock,CR10,CRL
103.872868803559,1.37076891469515,"31",Serangoon North,CR09,CRL
103.889867392406,1.37167188265302,"32",Hougang,CR08,CRL
103.898407222908,1.36233745106738,"33",Defu,CR07,CRL
103.937422172266,1.3694790309587,"34",Tampines North,CR06,CRL
103.94680547694,1.37190111491546,"35",Pasir Ris,CR05,CRL
103.960104883257,1.36705542042632,"36",Pasir Ris East,CR04,CRL
103.971160938699,1.37107863800005,"37",Loyang,CR03,CRL
